audio_path,emotion
dataset/sad\10_09_sad.wav,sad
dataset/sad\19_10_sad.wav,sad
dataset/happy\18_17_hap.wav,happy
dataset/happy\12_17_hap.wav,happy
dataset/neutral\13_11_neu.wav,neutral
dataset/neutral\01_09_neu.wav,neutral
dataset/happy\06_05_hap.wav,happy
dataset/happy\12_18_hap.wav,happy
dataset/angry\14_15_ang.wav,angry
dataset/angry\14_10_ang.wav,angry
dataset/angry\19_10_ang.wav,angry
dataset/angry\10_04_ang.wav,angry
dataset/sad\07_05_sad.wav,sad
dataset/sad\13_17_sad.wav,sad
dataset/sad\21_12_sad.wav,sad
dataset/neutral\02_02_neu.wav,neutral
dataset/happy\08_06_hap.wav,happy
dataset/sad\14_16_sad.wav,sad
dataset/neutral\06_09_neu.wav,neutral
dataset/neutral\14_12_neu.wav,neutral
dataset/neutral\19_14_neu.wav,neutral
dataset/fear\16_17_fea.wav,fear
dataset/sad\15_19_sad.wav,sad
dataset/sad\07_06_sad.wav,sad
dataset/angry\04_07_ang.wav,angry
dataset/fear\20_15_fea.wav,fear
dataset/sad\05_07_sad.wav,sad
dataset/sad\01_08_sad.wav,sad
dataset/sad\19_16_sad.wav,sad
dataset/happy\06_02_hap.wav,happy
dataset/neutral\06_04_neu.wav,neutral
dataset/sad\05_01_sad.wav,sad
dataset/angry\07_02_ang.wav,angry
dataset/neutral\12_19_neu.wav,neutral
dataset/sad\08_07_sad.wav,sad
dataset/neutral\20_11_neu.wav,neutral
dataset/sad\14_17_sad.wav,sad
dataset/angry\02_02_ang.wav,angry
dataset/happy\01_03_hap.wav,happy
dataset/happy\19_16_hap.wav,happy
dataset/sad\15_11_sad.wav,sad
dataset/neutral\07_07_neu.wav,neutral
dataset/sad\12_17_sad.wav,sad
dataset/angry\14_19_ang.wav,angry
dataset/happy\18_14_hap.wav,happy
dataset/happy\18_16_hap.wav,happy
dataset/happy\13_13_hap.wav,happy
dataset/angry\11_18_ang.wav,angry
dataset/sad\12_12_sad.wav,sad
dataset/happy\20_10_hap.wav,happy
dataset/angry\01_07_ang.wav,angry
dataset/sad\08_05_sad.wav,sad
dataset/sad\16_17_sad.wav,sad
dataset/sad\22_18_sad.wav,sad
dataset/angry\08_08_ang.wav,angry
dataset/angry\17_14_ang.wav,angry
dataset/fear\11_14_fea.wav,fear
dataset/happy\03_08_hap.wav,happy
dataset/fear\18_10_fea.wav,fear
dataset/sad\22_15_sad.wav,sad
dataset/sad\22_16_sad.wav,sad
dataset/fear\14_14_fea.wav,fear
dataset/fear\14_10_fea.wav,fear
dataset/fear\13_15_fea.wav,fear
dataset/angry\06_09_ang.wav,angry
dataset/angry\08_07_ang.wav,angry
dataset/neutral\06_01_neu.wav,neutral
dataset/angry\20_11_ang.wav,angry
dataset/fear\13_14_fea.wav,fear
dataset/happy\03_05_hap.wav,happy
dataset/happy\18_18_hap.wav,happy
dataset/angry\21_14_ang.wav,angry
dataset/angry\14_11_ang.wav,angry
dataset/angry\09_08_ang.wav,angry
dataset/fear\17_15_fea.wav,fear
dataset/happy\17_17_hap.wav,happy
dataset/neutral\19_19_neu.wav,neutral
dataset/neutral\14_13_neu.wav,neutral
dataset/happy\10_02_hap.wav,happy
dataset/sad\21_18_sad.wav,sad
dataset/angry\07_08_ang.wav,angry
dataset/sad\18_10_sad.wav,sad
dataset/happy\10_06_hap.wav,happy
dataset/sad\16_14_sad.wav,sad
dataset/sad\17_13_sad.wav,sad
dataset/neutral\05_08_neu.wav,neutral
dataset/fear\16_19_fea.wav,fear
dataset/angry\11_19_ang.wav,angry
dataset/happy\13_12_hap.wav,happy
dataset/angry\21_15_ang.wav,angry
dataset/fear\17_11_fea.wav,fear
dataset/angry\04_05_ang.wav,angry
dataset/sad\20_14_sad.wav,sad
dataset/angry\01_05_ang.wav,angry
dataset/sad\05_06_sad.wav,sad
dataset/sad\07_07_sad.wav,sad
dataset/sad\06_07_sad.wav,sad
dataset/happy\18_19_hap.wav,happy
dataset/angry\08_02_ang.wav,angry
dataset/happy\10_09_hap.wav,happy
dataset/sad\04_01_sad.wav,sad
dataset/happy\13_10_hap.wav,happy
dataset/angry\14_14_ang.wav,angry
dataset/happy\04_06_hap.wav,happy
dataset/happy\04_07_hap.wav,happy
dataset/fear\18_17_fea.wav,fear
dataset/happy\14_12_hap.wav,happy
dataset/angry\06_03_ang.wav,angry
dataset/neutral\01_04_neu.wav,neutral
dataset/neutral\05_05_neu.wav,neutral
dataset/fear\20_16_fea.wav,fear
dataset/happy\11_11_hap.wav,happy
dataset/happy\19_19_hap.wav,happy
dataset/sad\13_19_sad.wav,sad
dataset/happy\14_15_hap.wav,happy
dataset/happy\11_18_hap.wav,happy
dataset/happy\09_08_hap.wav,happy
dataset/sad\01_06_sad.wav,sad
dataset/sad\17_18_sad.wav,sad
dataset/sad\18_18_sad.wav,sad
dataset/angry\09_09_ang.wav,angry
dataset/neutral\17_18_neu.wav,neutral
dataset/happy\05_05_hap.wav,happy
dataset/happy\02_06_hap.wav,happy
dataset/sad\09_08_sad.wav,sad
dataset/neutral\04_06_neu.wav,neutral
dataset/angry\18_18_ang.wav,angry
dataset/neutral\20_12_neu.wav,neutral
dataset/sad\14_14_sad.wav,sad
dataset/sad\02_04_sad.wav,sad
dataset/neutral\22_18_neu.wav,neutral
dataset/angry\09_01_ang.wav,angry
dataset/angry\10_07_ang.wav,angry
dataset/sad\20_15_sad.wav,sad
dataset/happy\15_19_hap.wav,happy
dataset/fear\11_13_fea.wav,fear
dataset/fear\15_16_fea.wav,fear
dataset/sad\14_15_sad.wav,sad
dataset/sad\19_19_sad.wav,sad
dataset/sad\16_18_sad.wav,sad
dataset/fear\12_17_fea.wav,fear
dataset/sad\12_15_sad.wav,sad
dataset/fear\12_14_fea.wav,fear
dataset/neutral\20_10_neu.wav,neutral
dataset/neutral\08_07_neu.wav,neutral
dataset/happy\20_12_hap.wav,happy
dataset/happy\09_04_hap.wav,happy
dataset/happy\19_18_hap.wav,happy
dataset/angry\09_06_ang.wav,angry
dataset/angry\13_11_ang.wav,angry
dataset/fear\18_13_fea.wav,fear
dataset/angry\04_01_ang.wav,angry
dataset/neutral\04_02_neu.wav,neutral
dataset/fear\14_16_fea.wav,fear
dataset/angry\01_08_ang.wav,angry
dataset/neutral\09_01_neu.wav,neutral
dataset/neutral\04_04_neu.wav,neutral
dataset/happy\15_13_hap.wav,happy
dataset/neutral\22_10_neu.wav,neutral
dataset/angry\02_04_ang.wav,angry
dataset/fear\15_17_fea.wav,fear
dataset/sad\18_19_sad.wav,sad
dataset/sad\15_10_sad.wav,sad
dataset/happy\07_09_hap.wav,happy
dataset/sad\06_04_sad.wav,sad
dataset/neutral\18_18_neu.wav,neutral
dataset/angry\04_06_ang.wav,angry
dataset/neutral\10_08_neu.wav,neutral
dataset/sad\10_02_sad.wav,sad
dataset/angry\18_13_ang.wav,angry
dataset/angry\05_09_ang.wav,angry
dataset/fear\19_17_fea.wav,fear
dataset/neutral\19_16_neu.wav,neutral
dataset/neutral\04_07_neu.wav,neutral
dataset/sad\07_02_sad.wav,sad
dataset/happy\05_02_hap.wav,happy
dataset/fear\14_19_fea.wav,fear
dataset/neutral\04_01_neu.wav,neutral
dataset/angry\14_17_ang.wav,angry
dataset/neutral\08_04_neu.wav,neutral
dataset/neutral\08_02_neu.wav,neutral
dataset/happy\16_19_hap.wav,happy
dataset/angry\17_11_ang.wav,angry
dataset/neutral\14_16_neu.wav,neutral
dataset/fear\21_18_fea.wav,fear
dataset/angry\17_17_ang.wav,angry
dataset/angry\03_09_ang.wav,angry
dataset/fear\20_19_fea.wav,fear
dataset/fear\12_12_fea.wav,fear
dataset/happy\16_13_hap.wav,happy
dataset/neutral\08_08_neu.wav,neutral
dataset/neutral\02_05_neu.wav,neutral
dataset/happy\16_11_hap.wav,happy
dataset/neutral\07_06_neu.wav,neutral
dataset/neutral\03_06_neu.wav,neutral
dataset/neutral\03_08_neu.wav,neutral
dataset/fear\20_13_fea.wav,fear
dataset/sad\11_10_sad.wav,sad
dataset/angry\05_03_ang.wav,angry
dataset/neutral\08_03_neu.wav,neutral
dataset/neutral\07_09_neu.wav,neutral
dataset/happy\18_13_hap.wav,happy
dataset/sad\09_02_sad.wav,sad
dataset/happy\08_08_hap.wav,happy
dataset/fear\20_10_fea.wav,fear
dataset/sad\22_10_sad.wav,sad
dataset/happy\02_05_hap.wav,happy
dataset/neutral\09_02_neu.wav,neutral
dataset/neutral\10_03_neu.wav,neutral
dataset/angry\19_16_ang.wav,angry
dataset/happy\22_17_hap.wav,happy
dataset/sad\17_10_sad.wav,sad
dataset/neutral\16_19_neu.wav,neutral
dataset/angry\18_15_ang.wav,angry
dataset/happy\20_18_hap.wav,happy
dataset/fear\18_11_fea.wav,fear
dataset/fear\13_11_fea.wav,fear
dataset/angry\01_04_ang.wav,angry
dataset/sad\21_15_sad.wav,sad
dataset/fear\11_10_fea.wav,fear
dataset/neutral\09_07_neu.wav,neutral
dataset/sad\19_14_sad.wav,sad
dataset/neutral\10_01_neu.wav,neutral
dataset/fear\19_14_fea.wav,fear
dataset/happy\14_17_hap.wav,happy
dataset/sad\10_01_sad.wav,sad
dataset/angry\16_10_ang.wav,angry
dataset/sad\08_06_sad.wav,sad
dataset/happy\05_09_hap.wav,happy
dataset/angry\15_16_ang.wav,angry
dataset/sad\01_05_sad.wav,sad
dataset/neutral\05_06_neu.wav,neutral
dataset/angry\12_15_ang.wav,angry
dataset/neutral\08_06_neu.wav,neutral
dataset/angry\10_02_ang.wav,angry
dataset/sad\07_01_sad.wav,sad
dataset/sad\12_10_sad.wav,sad
dataset/sad\03_04_sad.wav,sad
dataset/angry\16_17_ang.wav,angry
dataset/angry\13_19_ang.wav,angry
dataset/sad\11_14_sad.wav,sad
dataset/neutral\15_17_neu.wav,neutral
dataset/happy\09_01_hap.wav,happy
dataset/angry\05_01_ang.wav,angry
dataset/neutral\09_09_neu.wav,neutral
dataset/happy\14_10_hap.wav,happy
dataset/fear\13_17_fea.wav,fear
dataset/neutral\12_18_neu.wav,neutral
dataset/happy\11_16_hap.wav,happy
dataset/sad\07_08_sad.wav,sad
dataset/happy\22_16_hap.wav,happy
dataset/happy\03_02_hap.wav,happy
dataset/happy\21_14_hap.wav,happy
dataset/fear\17_12_fea.wav,fear
dataset/happy\05_04_hap.wav,happy
dataset/fear\15_10_fea.wav,fear
dataset/happy\01_08_hap.wav,happy
dataset/happy\13_14_hap.wav,happy
dataset/happy\15_14_hap.wav,happy
dataset/happy\07_01_hap.wav,happy
dataset/sad\12_18_sad.wav,sad
dataset/happy\05_07_hap.wav,happy
dataset/angry\04_02_ang.wav,angry
dataset/fear\12_11_fea.wav,fear
dataset/neutral\10_05_neu.wav,neutral
dataset/neutral\07_05_neu.wav,neutral
dataset/angry\14_13_ang.wav,angry
dataset/neutral\14_19_neu.wav,neutral
dataset/neutral\16_15_neu.wav,neutral
dataset/neutral\11_18_neu.wav,neutral
dataset/neutral\13_10_neu.wav,neutral
dataset/neutral\15_19_neu.wav,neutral
dataset/neutral\13_17_neu.wav,neutral
dataset/fear\20_12_fea.wav,fear
dataset/happy\14_11_hap.wav,happy
dataset/neutral\06_02_neu.wav,neutral
dataset/sad\15_14_sad.wav,sad
dataset/sad\11_11_sad.wav,sad
dataset/sad\19_12_sad.wav,sad
dataset/fear\15_12_fea.wav,fear
dataset/neutral\17_13_neu.wav,neutral
dataset/angry\16_19_ang.wav,angry
dataset/neutral\11_11_neu.wav,neutral
dataset/sad\09_06_sad.wav,sad
dataset/neutral\04_08_neu.wav,neutral
dataset/fear\21_16_fea.wav,fear
dataset/happy\22_10_hap.wav,happy
dataset/angry\21_10_ang.wav,angry
dataset/neutral\12_16_neu.wav,neutral
dataset/neutral\05_09_neu.wav,neutral
dataset/neutral\02_06_neu.wav,neutral
dataset/neutral\15_13_neu.wav,neutral
dataset/fear\18_19_fea.wav,fear
dataset/neutral\09_06_neu.wav,neutral
dataset/sad\12_13_sad.wav,sad
dataset/neutral\05_03_neu.wav,neutral
dataset/neutral\10_09_neu.wav,neutral
dataset/neutral\02_09_neu.wav,neutral
dataset/neutral\17_16_neu.wav,neutral
dataset/neutral\01_01_neu.wav,neutral
dataset/sad\02_06_sad.wav,sad
dataset/sad\05_05_sad.wav,sad
dataset/happy\01_07_hap.wav,happy
dataset/neutral\06_03_neu.wav,neutral
dataset/neutral\12_13_neu.wav,neutral
dataset/fear\17_10_fea.wav,fear
dataset/fear\11_17_fea.wav,fear
dataset/angry\07_09_ang.wav,angry
dataset/angry\07_06_ang.wav,angry
